"thr","n","n_right","prop","Season"
-1,914,618,0.676148796498906,"1983-1984"
-0.999,914,618,0.676148796498906,"1983-1984"
-0.998,914,618,0.676148796498906,"1983-1984"
-0.997,914,618,0.676148796498906,"1983-1984"
-0.996,914,618,0.676148796498906,"1983-1984"
-0.995,914,618,0.676148796498906,"1983-1984"
-0.994,914,618,0.676148796498906,"1983-1984"
-0.993,914,618,0.676148796498906,"1983-1984"
-0.992,914,618,0.676148796498906,"1983-1984"
-0.991,914,618,0.676148796498906,"1983-1984"
-0.99,914,618,0.676148796498906,"1983-1984"
-0.989,914,618,0.676148796498906,"1983-1984"
-0.988,914,618,0.676148796498906,"1983-1984"
-0.987,914,618,0.676148796498906,"1983-1984"
-0.986,914,618,0.676148796498906,"1983-1984"
-0.985,914,618,0.676148796498906,"1983-1984"
-0.984,914,618,0.676148796498906,"1983-1984"
-0.983,914,618,0.676148796498906,"1983-1984"
-0.982,914,618,0.676148796498906,"1983-1984"
-0.981,914,618,0.676148796498906,"1983-1984"
-0.98,914,618,0.676148796498906,"1983-1984"
-0.979,914,618,0.676148796498906,"1983-1984"
-0.978,914,618,0.676148796498906,"1983-1984"
-0.977,914,618,0.676148796498906,"1983-1984"
-0.976,914,618,0.676148796498906,"1983-1984"
-0.975,914,618,0.676148796498906,"1983-1984"
-0.974,914,618,0.676148796498906,"1983-1984"
-0.973,914,618,0.676148796498906,"1983-1984"
-0.972,914,618,0.676148796498906,"1983-1984"
-0.971,914,618,0.676148796498906,"1983-1984"
-0.97,914,618,0.676148796498906,"1983-1984"
-0.969,914,618,0.676148796498906,"1983-1984"
-0.968,914,618,0.676148796498906,"1983-1984"
-0.967,914,618,0.676148796498906,"1983-1984"
-0.966,914,618,0.676148796498906,"1983-1984"
-0.965,914,618,0.676148796498906,"1983-1984"
-0.964,914,618,0.676148796498906,"1983-1984"
-0.963,914,618,0.676148796498906,"1983-1984"
-0.962,914,618,0.676148796498906,"1983-1984"
-0.961,914,618,0.676148796498906,"1983-1984"
-0.96,914,618,0.676148796498906,"1983-1984"
-0.959,914,618,0.676148796498906,"1983-1984"
-0.958,914,618,0.676148796498906,"1983-1984"
-0.957,914,618,0.676148796498906,"1983-1984"
-0.956,914,618,0.676148796498906,"1983-1984"
-0.955,914,618,0.676148796498906,"1983-1984"
-0.954,914,618,0.676148796498906,"1983-1984"
-0.953,914,618,0.676148796498906,"1983-1984"
-0.952,914,618,0.676148796498906,"1983-1984"
-0.951,914,618,0.676148796498906,"1983-1984"
-0.95,914,618,0.676148796498906,"1983-1984"
-0.949,914,618,0.676148796498906,"1983-1984"
-0.948,914,618,0.676148796498906,"1983-1984"
-0.947,914,618,0.676148796498906,"1983-1984"
-0.946,914,618,0.676148796498906,"1983-1984"
-0.945,914,618,0.676148796498906,"1983-1984"
-0.944,914,618,0.676148796498906,"1983-1984"
-0.943,914,618,0.676148796498906,"1983-1984"
-0.942,914,618,0.676148796498906,"1983-1984"
-0.941,914,618,0.676148796498906,"1983-1984"
-0.94,914,618,0.676148796498906,"1983-1984"
-0.939,914,618,0.676148796498906,"1983-1984"
-0.938,914,618,0.676148796498906,"1983-1984"
-0.937,914,618,0.676148796498906,"1983-1984"
-0.936,914,618,0.676148796498906,"1983-1984"
-0.935,914,618,0.676148796498906,"1983-1984"
-0.934,914,618,0.676148796498906,"1983-1984"
-0.933,914,618,0.676148796498906,"1983-1984"
-0.932,914,618,0.676148796498906,"1983-1984"
-0.931,914,618,0.676148796498906,"1983-1984"
-0.93,914,618,0.676148796498906,"1983-1984"
-0.929,914,618,0.676148796498906,"1983-1984"
-0.928,914,618,0.676148796498906,"1983-1984"
-0.927,914,618,0.676148796498906,"1983-1984"
-0.926,914,618,0.676148796498906,"1983-1984"
