"url","date","title","director","writer","stars","running_time","genre","rating","blurb"
"https://www.nytimes.com/2018/11/01/movies/maria-by-callas-review.html","2018/11/01","Maria by Callas","Tom Volf","Fanny Ardant, Joyce DiDonato, Maria Callas, Aristotle Onassis, Vittorio De Sica","PG","Documentary, Biography","NA","1h 53m","Rated PG. In English, French and Italian, with English subtitles."
"https://www.nytimes.com/2018/11/01/movies/the-price-of-free-review-documentary.html","2018/11/01","Kailash","Derek Doneen","Asmita, Swati Jha, Sumedha Kailash, Arshad Mehdi, Bhuwan Ribhu","1h 32m",NA,"NA","Documentary",NA
"https://www.nytimes.com/2018/11/01/movies/9-fingers-review.html","2018/11/01","9 Fingers","F.J. Ossang","F.J. Ossang","Paul Hamy, Damien Bonnard, Pascal Greggory, Gaspard Ulliel, Susana Afonso Lopes","Adventure, Drama","NA","1h 39m",NA
"https://www.nytimes.com/2018/11/01/movies/bodied-review.html","2018/11/01","Bodied","Joseph Kahn","Alex Larsen","Calum Worthy, Jackie Long, Rory Uphold, Jonathan Park, Walter Perez","2 hours","Comedy, Drama, Music","R","Rated R for, you got it, language."
"https://www.nytimes.com/2018/11/01/movies/marfa-girl-2-review.html","2018/11/01","Marfa Girl 2","Larry Clark","Larry Clark","Adam Mediano, Drake Burnette, Mercedes Maxwell, Jonathan Velasquez, Indigo Rael",NA,"NA","Drama",NA
"https://www.nytimes.com/2018/10/31/movies/the-nutcracker-and-the-four-realms-review.html","2018/10/31","The Nutcracker and the Four Realms","Lasse Hallström, Joe Johnston","Ashleigh Powell","Mackenzie Foy, Keira Knightley, Morgan Freeman, Helen Mirren, Tom Sweet","1h 39m","Adventure, Family, Fantasy","PG","Rated PG."
"https://www.nytimes.com/2018/11/01/movies/theyll-love-me-when-im-dead-review-documentary.html","2018/11/01","They'll Love Me When I'm Dead","Morgan Neville","Peter Bogdanovich, Steve Ecclesine, Oja Kodar, Frank Marshall, Joseph McBride","1h 38m",NA,"NA","Documentary",NA
"https://www.nytimes.com/2018/11/02/movies/nobodys-fool-review-tyler-perry-tiffany-haddish.html","2018/11/02","Nobody's Fool","Tyler Perry","Tyler Perry","Tiffany Haddish, Courtney Henggeler, Missi Pyle, Whoopi Goldberg, Tika Sumpter","1h 50m","Comedy, Drama","R","Rated R for sex and drug use and lots and lots and lots of profanity."
"https://www.nytimes.com/2018/11/01/movies/a-private-war-review.html","2018/11/01","A Private War","Matthew Heineman","Arash Amel","Rosamund Pike, Jamie Dornan, Stanley Tucci, Tom Hollander, Faye Marsay","1h 46m","Biography, Drama, War","R","Rated R for bombs, blood and a bit of nudity."
"https://www.nytimes.com/2018/11/01/movies/daughters-of-the-sexual-revolution-the-untold-story-of-the-dallas-cowboys-cheerleaders-review.html","2018/11/01","Daughters of the Sexual Revolution: The Untold Story of the Dallas Cowboys Cheerleaders","Dana Adam Shapiro","Cindy Bennett, Tami Barber, Kim Bateman Bue, Tammie Curren Caruthers, Candy Evans","1h 18m",NA,"NA","Documentary",NA
"https://www.nytimes.com/2018/11/01/movies/distant-constellation-review-documentary.html","2018/11/01","Distant Constellation","Shevaun Mizrahi","1h 20m","Documentary",NA,"NA",NA,NA
"https://www.nytimes.com/2018/11/01/movies/searching-for-ingmar-bergman-review.html","2018/11/01","Searching for Ingmar Bergman","Felix Moeller, Margarethe von Trotta, Bettina Böhler","Liv Ullmann, Ruben Östlund, Olivier Assayas, Mia Hansen-Løve, Gunnel Lindblom","1h 39m",NA,"NA","Documentary",NA
"https://www.nytimes.com/2018/11/01/movies/the-other-side-of-the-wind-review-orson-welles.html","2018/11/01","The Other Side of the Wind","Orson Welles","Oja Kodar, Orson Welles","John Huston, Robert Random, Peter Bogdanovich, Susan Strasberg, Oja Kodar","2h 2m","Comedy, Drama","R","Rated R for female nudity and gun play."
"https://www.nytimes.com/2018/11/06/movies/narcissister-organ-player-review.html","2018/11/06","Narcissister Organ Player","Narcissister","Narcissister","1h 31m",NA,"NA","Documentary",NA
"https://www.nytimes.com/2018/11/05/movies/the-front-runner-review-gary-hart.html","2018/11/05","The Front Runner","Jason Reitman","Matt Bai, Jay Carson, Jason Reitman","Hugh Jackman, Vera Farmiga, J.K. Simmons, Mark O'Brien, Molly Ephraim","1h 53m","Biography, Drama","R","Rated R. Swearing, smoking, and speculation about sex."
"https://www.nytimes.com/2018/11/08/movies/pimp-review.html","2018/11/08","Pimp","Christine Crokos","Christine Crokos","Vanessa Morgan, Haley Ramm, Keke Palmer, Edi Gathegi, Aunjanue Ellis","Drama","NA","1h 26m",NA
"https://www.nytimes.com/2018/11/08/movies/number-37-review.html","2018/11/08","Number 37","Nosipho Dumisa","Nosipho Dumisa","Irshaad Ally, Ephram Gordon, Amrain Ismail-Essop, Elton Landrew, Deon Lotz","Thriller","NA","1h 40m",NA
"https://www.nytimes.com/2018/11/08/movies/postcards-from-london-review.html","2018/11/08","Postcards from London","Steve McLean","Steve McLean","Harris Dickinson, Jonah Hauer-King, Alessandro Cimadamore, Leonardo Salerni, Raphael Desprez","Drama","NA","1h 28m",NA
"https://www.nytimes.com/2018/11/08/movies/in-a-relationship-review.html","2018/11/08","In a Relationship","Sam Boyd","Sam Boyd","Emma Roberts, Michael Angarano, Dree Hemingway, Patrick Gibson, Jay Ellis","Comedy, Drama","NA","1h 32m",NA
"https://www.nytimes.com/2018/11/08/movies/weightless-review.html","2018/11/08","Weightless","Jaron Albertin","Enda Walsh","Marc Menchaca, Julianne Nicholson, Siobhan Fallon Hogan, Alessandro Nivola, Johnny Knoxville","1h 33m","Drama","R","Rated R."
"https://www.nytimes.com/2018/11/08/movies/the-long-dumb-road-review.html","2018/11/08","The Long Dumb Road","Hannah Fidell","Hannah Fidell, Carson Mell","Taissa Farmiga, Casey Wilson, Jason Mantzoukas, Ron Livingston, Grace Gummer","1h 30m","Comedy","R","Rated R. Road brews."
"https://www.nytimes.com/2018/11/08/movies/el-angel-review.html","2018/11/08","El Angel","Luis Ortega","Sergio Olguín, Luis Ortega, Rodolfo Palacios","Lorenzo Ferro, Chino Darín, Daniel Fanego, Mercedes Morán, Cecilia Roth","Biography, Crime, Drama","NA","1h 58m",NA
"https://www.nytimes.com/2018/11/08/movies/the-ballad-of-buster-scruggs-review.html","2018/11/08","The Ballad of Buster Scruggs","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Liam Neeson, James Franco, Zoe Kazan, David Krumholtz, Clancy Brown","2h 12m","Comedy, Drama, Musical, Mystery, Romance, Western","R","Rated R. A lot of killing."
"https://www.nytimes.com/2018/11/07/movies/the-grinch-review.html","2018/11/07","The Grinch","Yarrow Cheney, Scott Mosier","Michael LeSieur, Tommy Swerdlow","Rashida Jones, Tristan O'Hare, Scarlett Estevez, Benedict Cumberbatch, Angela Lansbury","1h 30m","Animation, Comedy, Family, Fantasy","PG","Rated PG for “some crude humor” and perhaps because it might inspire youngsters to explore Tyler, th"
"https://www.nytimes.com/2018/11/08/movies/here-and-now-review.html","2018/11/08","Here and Now","Fabien Constant","Laura Eason","Sarah Jessica Parker, Renée Zellweger, Taylor Kinney, Simon Baker, Common","1h 31m","Drama, Music, Romance","R","Rated R for language and some sex in the city."
"https://www.nytimes.com/2018/11/08/movies/the-new-romantic-review.html","2018/11/08","The New Romantic","Carly Stone","Carly Stone","Sarah Armstrong, Daina Barbeau, Jessica Barden, Vinnie Bennett, Alexandre Bourgeois","Comedy, Drama, Romance","NA","1h 22m",NA
"https://www.nytimes.com/2018/11/07/movies/the-girl-in-the-spiders-web-review.html","2018/11/07","The Girl in the Spider's Web: A New Dragon Tattoo Story","Fede Alvarez","Jay Basu, Fede Alvarez, Steven Knight","Claire Foy, Sylvia Hoeks, Lakeith Stanfield, Stephen Merchant, Cameron Britton","1h 57m","Crime, Drama, Thriller","R","Rated R for extreme violence, including intimations of child rape."
"https://www.nytimes.com/2018/11/08/movies/overlord-review.html","2018/11/08","Overlord","Julius Avery","Billy Ray, Mark L. Smith","Jovan Adepo, Wyatt Russell, Mathilde Ollivier, Pilou Asbæk, John Magaro","1h 49m","Action, Horror, Mystery, Sci-Fi, Thriller, War","R","Rated R for copious swearing, bleeding and burning. And one very nasty head crush."
"https://www.nytimes.com/2018/11/08/movies/outlaw-king-review.html","2018/11/08","Outlaw King","David Mackenzie","Bathsheba Doran, David Mackenzie, James MacInnes","Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle, Paul Blair","2h 1m","Action, Biography, Drama, History","R","Rated R for extreme medieval violence."
"https://www.nytimes.com/2018/11/13/movies/shoah-four-sisters-review.html","2018/11/13","Shoah: Four Sisters","Claude Lanzmann","Claude Lanzmann","Claude Lanzmann, Paula Biren, Ruth Elias, Ada Lichtman, Hanna Marton","Documentary, History","NA","4h 33m",NA
"https://www.nytimes.com/2018/11/15/movies/miss-dali-review.html","2018/11/15","Miss Dalí","Ventura Pons","Ventura Pons","Marta Angelat, Eulàlia Ballart, Claire Bloom, David Bocian, Martha Carbonell","Drama","NA","2h 45m",NA
