"url","date","title","director","writer","stars","running_time","genre","rating","blurb"
"https://www.nytimes.com/2018/11/01/movies/maria-by-callas-review.html","2018/11/01","Maria by Callas","Tom Volf","Fanny Ardant, Joyce DiDonato, Maria Callas, Aristotle Onassis, Vittorio De Sica","PG","Documentary, Biography","NA","1h 53m","Rated PG. In English, French and Italian, with English subtitles."
"https://www.nytimes.com/2018/11/01/movies/bodied-review.html","2018/11/01","Bodied","Joseph Kahn","Alex Larsen","Calum Worthy, Jackie Long, Rory Uphold, Jonathan Park, Walter Perez","2 hours","Comedy, Drama, Music","R","Rated R for, you got it, language."
"https://www.nytimes.com/2018/10/31/movies/the-nutcracker-and-the-four-realms-review.html","2018/10/31","The Nutcracker and the Four Realms","Lasse Hallström, Joe Johnston","Ashleigh Powell","Mackenzie Foy, Keira Knightley, Morgan Freeman, Helen Mirren, Tom Sweet","1h 39m","Adventure, Family, Fantasy","PG","Rated PG."
"https://www.nytimes.com/2018/11/02/movies/nobodys-fool-review-tyler-perry-tiffany-haddish.html","2018/11/02","Nobody's Fool","Tyler Perry","Tyler Perry","Tiffany Haddish, Courtney Henggeler, Missi Pyle, Whoopi Goldberg, Tika Sumpter","1h 50m","Comedy, Drama","R","Rated R for sex and drug use and lots and lots and lots of profanity."
"https://www.nytimes.com/2018/11/01/movies/a-private-war-review.html","2018/11/01","A Private War","Matthew Heineman","Arash Amel","Rosamund Pike, Jamie Dornan, Stanley Tucci, Tom Hollander, Faye Marsay","1h 46m","Biography, Drama, War","R","Rated R for bombs, blood and a bit of nudity."
"https://www.nytimes.com/2018/11/01/movies/the-other-side-of-the-wind-review-orson-welles.html","2018/11/01","The Other Side of the Wind","Orson Welles","Oja Kodar, Orson Welles","John Huston, Robert Random, Peter Bogdanovich, Susan Strasberg, Oja Kodar","2h 2m","Comedy, Drama","R","Rated R for female nudity and gun play."
"https://www.nytimes.com/2018/11/05/movies/the-front-runner-review-gary-hart.html","2018/11/05","The Front Runner","Jason Reitman","Matt Bai, Jay Carson, Jason Reitman","Hugh Jackman, Vera Farmiga, J.K. Simmons, Mark O'Brien, Molly Ephraim","1h 53m","Biography, Drama","R","Rated R. Swearing, smoking, and speculation about sex."
"https://www.nytimes.com/2018/11/08/movies/weightless-review.html","2018/11/08","Weightless","Jaron Albertin","Enda Walsh","Marc Menchaca, Julianne Nicholson, Siobhan Fallon Hogan, Alessandro Nivola, Johnny Knoxville","1h 33m","Drama","R","Rated R."
"https://www.nytimes.com/2018/11/08/movies/the-long-dumb-road-review.html","2018/11/08","The Long Dumb Road","Hannah Fidell","Hannah Fidell, Carson Mell","Taissa Farmiga, Casey Wilson, Jason Mantzoukas, Ron Livingston, Grace Gummer","1h 30m","Comedy","R","Rated R. Road brews."
"https://www.nytimes.com/2018/11/08/movies/the-ballad-of-buster-scruggs-review.html","2018/11/08","The Ballad of Buster Scruggs","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Liam Neeson, James Franco, Zoe Kazan, David Krumholtz, Clancy Brown","2h 12m","Comedy, Drama, Musical, Mystery, Romance, Western","R","Rated R. A lot of killing."
