elect_dist,TotalVotes,DD,DDpct,MR,MRpct,Winner,Difference
61001,591,43,0.072758037,537,0.908629442,ROSE,0.835871405
61002,595,67,0.112605042,513,0.862184874,ROSE,0.749579832
61003,617,102,0.165316045,494,0.800648298,ROSE,0.635332253
61004,367,45,0.122615804,313,0.852861035,ROSE,0.730245231
61005,382,35,0.091623037,331,0.866492147,ROSE,0.77486911
61006,291,80,0.274914089,194,0.666666667,ROSE,0.391752578
61007,444,22,0.04954955,413,0.93018018,ROSE,0.88063063
61008,314,16,0.050955414,292,0.929936306,ROSE,0.878980892
61009,602,93,0.15448505,497,0.825581395,ROSE,0.671096345
61010,549,88,0.160291439,446,0.812386157,ROSE,0.652094718
61011,498,97,0.194779116,387,0.777108434,ROSE,0.582329318
61012,780,253,0.324358974,523,0.670512821,ROSE,0.346153847
61013,486,89,0.183127572,385,0.79218107,ROSE,0.609053498
61014,525,176,0.335238095,339,0.645714286,ROSE,0.310476191
61015,453,141,0.311258278,300,0.662251656,ROSE,0.350993378
61016,473,33,0.069767442,430,0.909090909,ROSE,0.839323467
61017,493,36,0.073022312,451,0.914807302,ROSE,0.84178499
61018,476,109,0.228991597,356,0.74789916,ROSE,0.518907563
61019,547,144,0.263254113,390,0.71297989,ROSE,0.449725777
61020,518,150,0.28957529,358,0.691119691,ROSE,0.401544401
61021,443,48,0.108352144,389,0.878103837,ROSE,0.769751693
61022,527,81,0.15370019,442,0.838709677,ROSE,0.685009487
61023,441,103,0.233560091,331,0.750566893,ROSE,0.517006802
61024,530,178,0.335849057,340,0.641509434,ROSE,0.305660377
61025,520,134,0.257692308,379,0.728846154,ROSE,0.471153846
61026,513,69,0.134502924,431,0.840155945,ROSE,0.705653021
61027,483,84,0.173913043,390,0.807453416,ROSE,0.633540373
61028,385,61,0.158441558,317,0.823376623,ROSE,0.664935065
61029,426,141,0.330985915,279,0.654929577,ROSE,0.323943662
61030,527,166,0.314990512,351,0.666034156,ROSE,0.351043644
61031,572,94,0.164335664,472,0.825174825,ROSE,0.660839161
61032,507,88,0.17357002,409,0.806706114,ROSE,0.633136094
61033,479,80,0.167014614,390,0.814196242,ROSE,0.647181628
61034,482,285,0.591286307,190,0.394190871,DONOVAN,0.197095436
61035,443,284,0.641083521,150,0.338600451,DONOVAN,0.30248307
61036,302,159,0.526490066,138,0.456953642,DONOVAN,0.069536424
61037,539,165,0.306122449,360,0.667903525,ROSE,0.361781076
61038,564,244,0.432624113,312,0.553191489,ROSE,0.120567376
61039,553,244,0.441229656,292,0.528028933,ROSE,0.086799277
61040,590,286,0.484745763,298,0.505084746,ROSE,0.020338983
61041,500,307,0.614,189,0.378,DONOVAN,0.236
61042,679,353,0.51988218,316,0.46539028,DONOVAN,0.0544919
61043,424,233,0.549528302,187,0.441037736,DONOVAN,0.108490566
61044,440,201,0.456818182,231,0.525,ROSE,0.068181818
61045,488,278,0.569672131,205,0.420081967,DONOVAN,0.149590164
61046,509,258,0.506876228,245,0.481335953,DONOVAN,0.025540275
61047,591,351,0.593908629,232,0.392554992,DONOVAN,0.201353637
61048,549,345,0.628415301,200,0.364298725,DONOVAN,0.264116576
61049,260,27,0.103846154,228,0.876923077,ROSE,0.773076923
61050,302,55,0.182119205,243,0.804635762,ROSE,0.622516557
61051,486,86,0.176954733,397,0.816872428,ROSE,0.639917695
61052,453,172,0.379690949,278,0.613686534,ROSE,0.233995585
61053,510,16,0.031372549,477,0.935294118,ROSE,0.903921569
61054,341,61,0.17888563,271,0.794721408,ROSE,0.615835778
61055,452,34,0.075221239,402,0.889380531,ROSE,0.814159292
61056,436,53,0.121559633,373,0.855504587,ROSE,0.733944954
61057,542,135,0.249077491,393,0.725092251,ROSE,0.47601476
61058,452,10,0.022123894,432,0.955752212,ROSE,0.933628318
61059,405,21,0.051851852,382,0.943209877,ROSE,0.891358025
61060,348,83,0.238505747,258,0.74137931,ROSE,0.502873563
61061,448,16,0.035714286,425,0.948660714,ROSE,0.912946428
61062,391,171,0.437340153,212,0.542199488,ROSE,0.104859335
61063,162,59,0.364197531,102,0.62962963,ROSE,0.265432099
61064,177,32,0.18079096,142,0.802259887,ROSE,0.621468927
61065,581,71,0.122203098,500,0.860585198,ROSE,0.7383821
61066,380,95,0.25,283,0.744736842,ROSE,0.494736842
61067,495,108,0.218181818,380,0.767676768,ROSE,0.54949495
61068,439,64,0.145785877,364,0.829157175,ROSE,0.683371298
61069,437,69,0.157894737,355,0.812356979,ROSE,0.654462242
61070,355,13,0.036619718,328,0.923943662,ROSE,0.887323944
61071,454,213,0.469162996,233,0.513215859,ROSE,0.044052863
61072,415,164,0.395180723,251,0.604819277,ROSE,0.209638554
61073,494,31,0.062753036,455,0.921052632,ROSE,0.858299596
61074,240,26,0.108333333,210,0.875,ROSE,0.766666667
61075,351,72,0.205128205,268,0.763532764,ROSE,0.558404559
61076,563,157,0.278863233,393,0.698046181,ROSE,0.419182948
61077,291,18,0.06185567,272,0.934707904,ROSE,0.872852234
61078,246,30,0.12195122,202,0.821138211,ROSE,0.699186991
61079,0,0,0,0,0,DONOVAN,0
62001,485,357,0.736082474,120,0.24742268,DONOVAN,0.488659794
62002,579,410,0.708117444,163,0.281519862,DONOVAN,0.426597582
62003,449,306,0.681514477,137,0.305122494,DONOVAN,0.376391983
62004,504,326,0.646825397,165,0.327380952,DONOVAN,0.319444445
62005,501,397,0.79241517,98,0.195608782,DONOVAN,0.596806388
62006,433,287,0.662817552,144,0.33256351,DONOVAN,0.330254042
62007,519,368,0.709055877,146,0.281310212,DONOVAN,0.427745665
62008,435,289,0.664367816,138,0.317241379,DONOVAN,0.347126437
62009,289,200,0.692041522,84,0.290657439,DONOVAN,0.401384083
62010,324,230,0.709876543,92,0.283950617,DONOVAN,0.425925926
62011,514,376,0.73151751,127,0.247081712,DONOVAN,0.484435798
62012,344,198,0.575581395,143,0.415697674,DONOVAN,0.159883721
62013,505,307,0.607920792,189,0.374257426,DONOVAN,0.233663366
62014,331,207,0.625377644,118,0.356495468,DONOVAN,0.268882176
62015,456,280,0.614035088,172,0.377192982,DONOVAN,0.236842106
62016,497,263,0.52917505,230,0.46277666,DONOVAN,0.06639839
62017,321,239,0.744548287,73,0.22741433,DONOVAN,0.517133957
62018,351,248,0.706552707,101,0.287749288,DONOVAN,0.418803419
62019,394,273,0.692893401,117,0.296954315,DONOVAN,0.395939086
62020,493,365,0.740365112,120,0.243407708,DONOVAN,0.496957404
62021,480,360,0.75,118,0.245833333,DONOVAN,0.504166667
62022,449,299,0.665924276,143,0.318485523,DONOVAN,0.347438753
62023,406,279,0.687192118,122,0.300492611,DONOVAN,0.386699507
62024,420,220,0.523809524,196,0.466666667,DONOVAN,0.057142857
62025,442,332,0.751131222,107,0.242081448,DONOVAN,0.509049774
62026,479,210,0.438413361,259,0.540709812,ROSE,0.102296451
62027,555,385,0.693693694,162,0.291891892,DONOVAN,0.401801802
62028,482,322,0.668049793,160,0.331950207,DONOVAN,0.336099586
62029,420,301,0.716666667,113,0.269047619,DONOVAN,0.447619048
62030,504,369,0.732142857,129,0.255952381,DONOVAN,0.476190476
62031,520,340,0.653846154,172,0.330769231,DONOVAN,0.323076923
