Album,Primary_Artist,Songs_on_Album,Artist,Appearances,Year,Member,Sold
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,12,RZA,9,1993,1,P
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,12,Ghostface Killah,8,1993,1,P
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,12,Raekwon,9,1993,1,P
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,12,Inspectah Deck,7,1993,1,P
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,12,GZA,6,1993,1,P
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,12,ODB,4,1993,1,P
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,12,Method Man,7,1993,1,P
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,12,U-God,3,1993,1,P
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,12,Masta Killa,1,1993,1,P
Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,12,Buddha Monk,1,1993,0,P
Wu-Tang Forever,Wu-Tang Clan,27,RZA,16,1997,1,MP
Wu-Tang Forever,Wu-Tang Clan,27,Ghostface Killah,13,1997,1,MP
Wu-Tang Forever,Wu-Tang Clan,27,Raekwon,16,1997,1,MP
Wu-Tang Forever,Wu-Tang Clan,27,Inspectah Deck,9,1997,1,MP
Wu-Tang Forever,Wu-Tang Clan,27,GZA,7,1997,1,MP
Wu-Tang Forever,Wu-Tang Clan,27,ODB,6,1997,1,MP
Wu-Tang Forever,Wu-Tang Clan,27,Method Man,15,1997,1,MP
Wu-Tang Forever,Wu-Tang Clan,27,U-God,10,1997,1,MP
Wu-Tang Forever,Wu-Tang Clan,27,Masta Killa,7,1997,1,MP
Wu-Tang Forever,Wu-Tang Clan,27,Popa Wu,1,1997,0,MP
Wu-Tang Forever,Wu-Tang Clan,27,Uncle Pete,1,1997,0,MP
Wu-Tang Forever,Wu-Tang Clan,27,Ms. Roxy,1,1997,0,MP
Wu-Tang Forever,Wu-Tang Clan,27,Cappadonna,5,1997,0,MP
Wu-Tang Forever,Wu-Tang Clan,27,Tekitha,3,1997,0,MP
